epoch,best_epoch,trn_loss,trn_energy_within_threshold,val_mae,val_energy_within_threshold,best_energy_within_threshold
225,82,   0.01857,   0.71268,   0.02299,   0.61767,   0.92481
226,82,   0.01820,   0.69282,   0.02352,   0.48618,   0.92481
227,82,   0.01884,   0.68969,   0.01893,   0.61059,   0.92481
228,82,   0.01720,   0.74538,   0.01612,   0.77647,   0.92481
229,82,   0.01664,   0.74599,   0.01859,   0.72893,   0.92481
230,82,   0.01674,   0.74688,   0.01853,   0.72320,   0.92481
231,82,   0.01723,   0.72534,   0.01477,   0.75388,   0.92481
232,82,   0.01622,   0.76735,   0.01726,   0.67532,   0.92481
233,82,   0.01667,   0.72449,   0.02756,   0.30816,   0.92481
234,82,   0.01973,   0.64617,   0.01489,   0.77748,   0.92481
235,82,   0.01599,   0.76962,   0.02157,   0.49258,   0.92481
236,82,   0.01807,   0.72178,   0.01841,   0.73533,   0.92481
237,82,   0.01814,   0.71740,   0.02441,   0.51180,   0.92481
238,82,   0.01658,   0.74905,   0.01625,   0.83277,   0.92481
239,82,   0.01486,   0.81493,   0.01371,   0.86649,   0.92481
240,82,   0.01314,   0.85557,   0.01321,   0.85469,   0.92481
241,82,   0.01297,   0.85925,   0.01146,   0.88233,   0.92481
242,82,   0.01572,   0.77787,   0.02295,   0.60182,   0.92481
243,82,   0.01711,   0.74062,   0.01908,   0.75320,   0.92481
244,82,   0.01435,   0.84041,   0.01236,   0.88638,   0.92481
245,82,   0.01152,   0.89139,   0.01420,   0.86952,   0.92481
246,82,   0.01184,   0.88505,   0.01216,   0.88672,   0.92481
247,82,   0.01535,   0.78652,   0.01210,   0.88941,   0.92481
248,82,   0.01185,   0.88499,   0.01315,   0.86413,   0.92481
249,82,   0.01186,   0.88705,   0.01123,   0.88166,   0.92481
250,82,   0.01095,   0.89175,   0.01120,   0.89447,   0.92481
251,82,   0.01118,   0.89087,   0.01074,   0.88773,   0.92481
252,82,   0.01298,   0.86571,   0.01266,   0.84187,   0.92481
253,82,   0.01129,   0.89513,   0.01207,   0.89211,   0.92481
254,82,   0.01092,   0.89935,   0.01150,   0.88638,   0.92481
255,82,   0.01056,   0.89189,   0.01096,   0.87862,   0.92481
256,82,   0.01115,   0.89236,   0.01091,   0.88975,   0.92481
257,82,   0.01119,   0.89108,   0.01116,   0.88098,   0.92481
258,82,   0.01013,   0.89704,   0.01145,   0.88200,   0.92481
259,82,   0.01033,   0.89710,   0.01087,   0.88132,   0.92481
260,82,   0.01134,   0.89292,   0.01097,   0.88739,   0.92481
261,82,   0.01056,   0.89679,   0.01097,   0.88941,   0.92481
262,82,   0.01066,   0.89885,   0.01389,   0.86952,   0.92481
263,82,   0.01001,   0.90289,   0.01274,   0.87222,   0.92481
264,82,   0.01154,   0.87798,   0.01204,   0.88233,   0.92481
265,82,   0.01014,   0.89885,   0.01108,   0.88941,   0.92481
266,82,   0.01048,   0.89942,   0.01051,   0.89885,   0.92481
267,82,   0.00951,   0.90868,   0.01028,   0.89616,   0.92481
268,82,   0.01081,   0.89752,   0.01023,   0.90391,   0.92481
269,82,   0.01063,   0.90312,   0.01009,   0.89514,   0.92481
270,82,   0.01017,   0.90344,   0.01010,   0.88537,   0.92481
271,82,   0.00996,   0.90702,   0.01037,   0.89312,   0.92481
272,82,   0.00908,   0.91181,   0.01022,   0.90020,   0.92481
273,82,   0.01036,   0.90987,   0.01105,   0.90593,   0.92481
274,82,   0.00992,   0.91810,   0.01032,   0.90088,   0.92481
275,82,   0.01020,   0.91029,   0.01198,   0.89784,   0.92481
276,82,   0.00902,   0.91642,   0.01029,   0.89751,   0.92481
277,82,   0.00908,   0.91502,   0.00990,   0.89751,   0.92481
278,82,   0.00898,   0.91891,   0.00955,   0.90593,   0.92481
279,82,   0.00863,   0.91699,   0.01014,   0.89852,   0.92481
280,82,   0.00899,   0.91688,   0.00972,   0.90290,   0.92481
281,82,   0.00853,   0.91516,   0.00921,   0.90324,   0.92481
282,82,   0.00851,   0.91552,   0.00928,   0.90459,   0.92481
283,82,   0.00846,   0.91281,   0.01037,   0.90155,   0.92481
284,82,   0.00854,   0.92043,   0.00958,   0.90088,   0.92481
285,82,   0.00925,   0.90940,   0.01021,   0.89346,   0.92481
286,82,   0.00821,   0.91896,   0.00937,   0.90391,   0.92481
287,82,   0.00806,   0.91960,   0.00947,   0.90762,   0.92481
288,82,   0.00834,   0.91979,   0.00897,   0.90627,   0.92481
289,82,   0.00798,   0.92229,   0.00925,   0.89885,   0.92481
290,82,   0.00767,   0.92223,   0.00947,   0.90357,   0.92481
291,82,   0.00819,   0.92298,   0.00930,   0.89784,   0.92481
292,82,   0.00779,   0.92223,   0.00900,   0.90054,   0.92481
293,82,   0.00791,   0.92317,   0.00882,   0.90357,   0.92481
294,82,   0.00749,   0.92739,   0.00897,   0.90155,   0.92481
295,82,   0.00786,   0.92112,   0.00897,   0.90155,   0.92481
296,82,   0.00785,   0.92029,   0.00854,   0.91369,   0.92481
297,82,   0.00778,   0.92234,   0.00892,   0.90998,   0.92481
298,82,   0.00757,   0.92508,   0.00860,   0.90425,   0.92481
299,82,   0.00758,   0.92347,   0.00868,   0.91301,   0.92481
300,82,   0.00783,   0.92178,   0.00879,   0.89953,   0.92481
301,82,   0.00760,   0.92284,   0.00855,   0.90897,   0.92481
302,82,   0.00732,   0.92613,   0.00837,   0.91537,   0.92481
303,82,   0.00740,   0.92788,   0.00850,   0.90897,   0.92481
304,82,   0.00751,   0.92635,   0.00832,   0.91571,   0.92481
305,82,   0.00714,   0.92943,   0.00933,   0.91099,   0.92481
306,82,   0.00774,   0.92780,   0.00850,   0.91200,   0.92481
307,82,   0.00737,   0.92602,   0.00849,   0.91234,   0.92481
308,82,   0.00718,   0.92725,   0.00855,   0.90695,   0.92481
309,82,   0.00725,   0.92641,   0.00862,   0.91234,   0.92481
310,82,   0.00728,   0.92813,   0.00866,   0.90155,   0.92481
311,82,   0.00707,   0.92622,   0.00820,   0.91268,   0.92481
312,82,   0.00711,   0.92927,   0.00816,   0.91099,   0.92481
313,82,   0.00698,   0.92860,   0.00850,   0.91200,   0.92481
314,82,   0.00706,   0.92514,   0.00841,   0.91369,   0.92481
315,82,   0.00707,   0.93074,   0.00817,   0.91032,   0.92481
316,82,   0.00704,   0.92716,   0.00842,   0.91403,   0.92481
317,82,   0.00700,   0.92955,   0.00816,   0.91200,   0.92481
318,82,   0.00686,   0.92988,   0.00838,   0.91537,   0.92481
319,82,   0.00690,   0.92849,   0.00825,   0.91403,   0.92481
320,82,   0.00705,   0.93154,   0.00849,   0.91234,   0.92481
321,82,   0.00705,   0.92948,   0.00869,   0.90998,   0.92481
322,82,   0.00704,   0.92899,   0.00828,   0.91706,   0.92481
323,82,   0.00698,   0.92946,   0.00813,   0.91065,   0.92481
324,82,   0.00688,   0.93032,   0.00811,   0.91605,   0.92481
325,82,   0.00659,   0.93140,   0.00774,   0.92077,   0.92481
326,82,   0.00653,   0.93179,   0.00722,   0.91639,   0.92481
327,82,   0.00614,   0.93767,   0.00705,   0.92481,   0.92481
328,328,   0.00603,   0.93606,   0.00703,   0.92852,   0.92852
329,328,   0.00587,   0.93905,   0.00701,   0.92043,   0.92852
330,328,   0.00590,   0.93577,   0.00706,   0.92650,   0.92852
331,328,   0.00567,   0.93869,   0.00719,   0.91537,   0.92852
332,328,   0.00561,   0.93802,   0.00693,   0.92077,   0.92852
333,328,   0.00584,   0.93157,   0.00725,   0.90661,   0.92852
334,328,   0.00594,   0.93758,   0.00684,   0.92380,   0.92852
335,328,   0.00543,   0.94187,   0.00675,   0.92279,   0.92852
336,336,   0.00532,   0.94515,   0.00639,   0.93122,   0.93122
337,336,   0.01257,   0.85713,   0.01388,   0.87289,   0.93122
338,336,   0.01176,   0.88544,   0.01152,   0.86210,   0.93122
339,336,   0.01162,   0.89051,   0.01078,   0.89987,   0.93122
340,336,   0.01132,   0.89367,   0.01075,   0.91200,   0.93122
341,336,   0.01146,   0.90217,   0.01125,   0.90020,   0.93122
342,336,   0.01160,   0.89106,   0.01189,   0.88132,   0.93122
343,336,   0.01089,   0.91059,   0.01017,   0.90223,   0.93122
344,336,   0.01215,   0.88040,   0.01356,   0.87256,   0.93122
345,336,   0.01121,   0.89125,   0.01492,   0.89177,   0.93122
346,336,   0.01205,   0.88264,   0.01269,   0.89582,   0.93122
347,336,   0.01100,   0.89040,   0.01191,   0.89177,   0.93122
348,336,   0.01060,   0.90014,   0.01023,   0.90189,   0.93122
349,336,   0.01072,   0.89970,   0.01019,   0.89380,   0.93122
350,336,   0.01017,   0.91079,   0.01019,   0.90223,   0.93122
